uf_novo;UF;energia_kcal;ptn;chotot;fibra;lip;colest;agsat;agmono;agpoli;agtrans;calcio;ferro;sodio;magnesio;fosforo;potassio;cobre;zinco;vita_rae;tiamina;riboflavina;niacina;piridoxamina;cobalamina;vitd;vite;vitc;folato;idade;anos_estudo;peso;altura;kcalkg;ptnkg;energia_suple;ptn_supl;kcalkg_suple;alt_m;imc;ptnkgsuple;energia_suple2;ptn_supl2;kcalkg_suple2;ptnkgsuple2;inadeq_ptn;inadeq_energ;inadptn_supl1;inadeqkcal_supl1;inadeqptn_supl2;inadeqkcal_supl2;regiao;TOTAL_CASOS;TARGET;PERCENTUAL
27;AL;2552,84;116,47;353,16;31,95;81,03;560,08;24,96;25,84;21,41;1,9;497,96;17,44;3978,96;362,45;1433,76;2961,91;2,14;14,54;810,53;1,38;1,57;23,44;0,95;6,25;2,76;8,46;287,71;645,95;69,84;3,85;70,86;164,51;37,76;1,72;2852,84;136,47;42,21;1,65;26,11;2,02;3152,84;156,47;46,66;2,32;13,13;30,3;4,04;18,18;1,01;10,1;2;19799;349;0,01762715288651
28;SE;2675,1;118,03;373,64;35,37;85,98;454,86;27,69;27,17;21,8;2,31;583,05;16,23;3996,75;373,85;1432,42;3070,03;1,87;15,04;595,83;1,31;1,52;24,57;1,13;6,02;2,71;9,34;167,09;683,09;69,76;3,63;70,66;163,89;40,61;1,8;2975,1;138,03;45,1;1,64;26,09;2,1;3275,1;158,03;49,58;2,4;13,98;23,66;9,68;18,28;4,3;15,05;2;6311;74;0,011725558548566
29;BA;2545,99;114,11;363,77;40,15;78,72;386,37;25,3;24,56;20,9;1,98;589,86;16,53;3624,83;422,49;1420,43;3514,89;2,82;15,75;1290,49;1,34;1,7;22,8;0,94;8,21;1,67;9,26;179,38;688,05;70,72;3,86;71,13;164,54;37,31;1,68;2845,99;134,11;41,71;1,65;26,26;1,97;3145,99;154,11;46,12;2,26;20,99;29,01;11,73;22,84;4,32;14,81;2;381267;2972;0,007795062252962
31;MG;2392,83;107,21;328,55;37,1;78,81;324,2;24,8;25,18;21,41;1,72;629,82;15,61;3472,14;413,23;1374,17;3459,53;2,14;14,16;578,72;1,45;1,49;21,38;0,88;4,61;1,59;8,96;193,22;641,93;70,63;4,32;69,72;165,44;36,64;1,64;2692,83;127,21;41,19;1,65;25,34;1,94;2992,83;147,21;45,73;2,25;25,17;35,71;15,31;27,21;6,8;20,41;3;696267;9177;0,013180288596185
32;ES;2460,51;119,03;320,18;36,28;85,75;434,04;25,89;29,12;23,14;1,58;635,1;16,18;3701,65;415,36;1497,79;3406,44;2,17;15,4;658,08;1,33;1,59;24,01;0,85;6,09;2,28;9,92;121,01;623,62;70,28;3,93;69,91;164,87;37,19;1,8;2760,51;139,03;41,73;1,65;25,62;2,11;3060,51;159,03;46,27;2,41;13,83;34,57;7,98;22,34;3,72;15,43;3;41195;465;0,011287777642918
33;RJ;2289,62;105,86;316,32;33,23;72,97;299,49;22,51;22,66;20,43;1,89;562,32;15,61;3744,82;364,89;1348,04;3010,21;2,07;13,32;784,37;1,31;1,53;24,72;1,04;5,77;1,4;8,57;124,11;606,48;71,16;4,82;68,4;164,83;35,25;1,64;2589,62;125,86;39,87;1,65;25,05;1,95;2889,62;145,86;44,49;2,26;18,32;39,6;8,91;25,74;1,49;19,8;3;269006;4092;0,015211556619555
35;SP;2406,88;108,22;321,59;31,9;82,36;360,66;26,19;27,93;20,48;1,9;685,85;15,68;3506,28;379,32;1414,33;3260,57;2,02;14,75;516,4;1,4;1,68;21,73;0,99;5,46;2,25;9,41;176,54;587,46;69,07;4,52;67,94;164,46;37,48;1,66;2706,88;128,22;42,15;1,64;25;1,97;3006,88;148,22;46,82;2,29;22,82;31,95;10,79;24,07;2,9;17,01;3;3147035;30002;0,009533417963257
41;PR;2335,36;104,43;309,17;27,96;81,37;305,79;23,98;28,39;21,91;1,58;528,23;14,8;3338,09;405,32;1276,79;3259,78;1,82;15,3;344,99;1,73;1,34;19,38;0,85;4,27;1,43;9,12;187,58;567,16;70,22;3,15;69,3;166,08;35,28;1,57;2635,36;124,43;39,82;1,66;25,04;1,88;2935,36;144,43;44,36;2,18;26,85;36,24;12,08;27,52;5,37;19,46;4;404811;3456;0,008537317414794
42;SC;2475,84;110,95;333;27,94;82,54;407,01;26,08;27,71;20,29;1,76;658,21;16,22;3726,46;382,8;1408,22;3203,46;1,72;15,38;464,3;1,43;1,55;22;1;4,68;1,73;8,75;171,35;587,08;69,75;5,4;69,92;165,45;37,62;1,68;2775,84;130,95;42,14;1,65;25,48;1,99;3075,84;150,95;46,66;2,29;25;31,43;12,86;23,57;5;15;4;174937;1407;0,008042895442359
43;RS;2563,76;109,15;359,85;31,87;79,89;328,74;25,43;26,63;20,12;1,58;654,79;15,8;4089,32;508,74;1401,68;3944,39;2,3;17,09;741,59;1,51;1,65;23,48;1,01;5,72;1,43;8,23;184,01;619,33;70,34;2,73;70,42;166,11;37,93;1,62;2863,76;129,15;42,35;1,66;25,53;1,91;3163,76;149,15;46,77;2,21;20,3;27,82;9,77;21,05;2,26;12,78;4;1100848;8042;0,00730527738616
50;MS;2405,26;112,81;311,59;31,91;82,71;355,02;24,77;28,06;22,43;1,48;614,48;15,39;3508,34;501,75;1396,49;3603,13;2,07;18,45;427,72;1,4;1,31;20,57;0,94;6,27;2,04;9,45;196,27;582,11;69,77;4,11;66,47;164,85;38,7;1,82;2705,26;132,81;43,52;1,65;24,3;2,14;3005,26;152,81;48,34;2,46;21,38;36,55;11,03;23,45;5,52;17,24;5;24844;1310;0,052729029141845
51;MT;2557,16;125,93;335,6;36,81;85,86;395,2;26,34;26,55;25,22;1,6;650,23;16,24;3835,42;489,63;1503,16;3623,95;2,58;20,26;698,55;1,23;1,31;20,83;0,76;8,22;2,85;9,51;184,85;600,67;70,15;5,51;71,1;166,06;37,84;1,87;2857,16;145,93;42,28;1,66;25,74;2,16;3157,16;165,93;46,72;2,46;14,69;34,97;4,9;23,78;2,8;12,59;5;12388;191;0,015418146593478
52;GO;2469,61;117,07;318,03;36,84;87;402,54;26,14;28,35;24,23;1,45;577,92;15,77;3520,02;429,41;1418,15;3285,51;2,52;17,31;820,43;1,17;1,37;19,87;0,74;7,17;2,16;9,92;141,28;596,06;70,03;5,43;72,7;166,81;35,41;1,68;2769,61;137,07;39,73;1,67;26,15;1,97;3069,61;157,07;44,05;2,26;23,57;38,57;14,29;30,71;5;21,43;5;18199;145;0,007967470740151
53;DF;2389,89;106,29;316,3;26,72;78,26;387,43;25,53;25,36;19,4;1,66;634,96;13,92;3193,87;347,61;1330,51;2989,47;1,96;14,4;736,81;1,22;1,65;26,57;1,14;6,11;2,39;8,37;214,16;516,1;71,45;3,13;69,53;165,84;35,78;1,6;2689,89;126,29;40,25;1,66;25,19;1,9;2989,89;146,29;44,72;2,2;22,61;40,87;6,96;26,09;2,61;16,52;5;2584;5;0,001934984520124
